Date,Yearly Mean Total Sunspot Number,Yearly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
1979-12-31,220.10000,9.90000,365.00000,1.00000
1980-12-31,218.90000,9.90000,366.00000,1.00000
1981-12-31,198.90000,13.10000,3049.00000,1.00000
1982-12-31,162.40000,12.10000,3436.00000,1.00000
1983-12-31,91.00000,7.60000,4216.00000,1.00000
1984-12-31,60.50000,5.90000,5103.00000,1.00000
1985-12-31,20.60000,3.70000,5543.00000,1.00000
1986-12-31,14.80000,3.50000,5934.00000,1.00000
1987-12-31,33.90000,3.70000,6396.00000,1.00000
1988-12-31,123.00000,8.40000,6556.00000,1.00000
1989-12-31,211.10000,12.80000,6932.00000,1.00000
1990-12-31,191.80000,11.20000,7108.00000,1.00000
1991-12-31,203.30000,12.70000,6932.00000,1.00000
1992-12-31,133.00000,8.90000,7845.00000,1.00000
1993-12-31,76.10000,5.80000,8010.00000,1.00000
1994-12-31,44.90000,4.40000,8524.00000,1.00000
1995-12-31,25.10000,3.70000,8429.00000,1.00000
1996-12-31,11.60000,3.10000,7614.00000,1.00000
1997-12-31,28.90000,3.60000,7294.00000,1.00000
1998-12-31,88.30000,6.60000,6353.00000,1.00000
1999-12-31,136.30000,9.30000,6413.00000,1.00000
2000-12-31,173.90000,10.10000,5953.00000,1.00000
2001-12-31,170.40000,10.50000,6558.00000,1.00000
2002-12-31,163.60000,9.80000,6588.00000,1.00000
2003-12-31,99.30000,7.10000,7087.00000,1.00000
2004-12-31,65.30000,5.90000,6882.00000,1.00000
2005-12-31,45.80000,4.70000,7084.00000,1.00000
2006-12-31,24.70000,3.50000,6370.00000,1.00000
2007-12-31,12.60000,2.70000,6841.00000,1.00000
2008-12-31,4.20000,2.50000,6644.00000,1.00000
2009-12-31,4.80000,2.50000,6465.00000,1.00000
2010-12-31,24.90000,3.40000,6328.00000,1.00000
2011-12-31,80.80000,6.70000,6077.00000,1.00000
2012-12-31,84.50000,6.70000,5753.00000,1.00000
2013-12-31,94.00000,6.90000,5347.00000,1.00000
2014-12-31,113.30000,8.00000,5273.00000,1.00000
2015-12-31,69.80000,6.40000,8903.00000,1.00000
2016-12-31,39.80000,3.90000,9940.00000,1.00000
2017-12-31,21.70000,2.50000,11444.00000,1.00000
2018-12-31,7.00000,1.10000,12250.00000,0.00000
